Tiempo (años),Escenario Base,Tratamiento 50%,Tratamiento 80%,Tratamiento 95%,Intervención Combinada,Escenario Optimista
4.7,891366279999.9999,891366280000.0,891366280000.0002,891366279999.9998,891366280000.0002,891366280000.0002
4.800000000000001,891331519999.9998,891331519999.9999,891331520000.0004,891331519999.9996,891331520000.0002,891331520000.0002
4.9,891296759999.9998,891296759999.9999,891296760000.0004,891296759999.9996,891296760000.0002,891296760000.0002
5.0,891261999999.9998,891261999999.9999,891262000000.0004,891261999999.9996,891262000000.0002,891262000000.0002
5.1000000000000005,891227239999.9998,891227240000.0,891227240000.0004,891227239999.9996,891227240000.0001,891227240000.0001
5.2,891192479999.9998,891192480000.0,891192480000.0004,891192479999.9996,891192480000.0001,891192480000.0001
5.300000000000001,891157719999.9998,891157719999.9999,891157720000.0004,891157719999.9996,891157720000.0001,891157720000.0001
5.4,891122959999.9998,891122959999.9999,891122960000.0004,891122959999.9996,891122960000.0001,891122960000.0001
5.5,891088199999.9998,891088199999.9999,891088200000.0004,891088199999.9996,891088200000.0001,891088200000.0001
5.6000000000000005,891053439999.9998,891053440000.0,891053440000.0004,891053439999.9996,891053440000.0001,891053440000.0001
5.7,891018679999.9998,891018680000.0,891018680000.0004,891018679999.9996,891018680000.0001,891018680000.0001
5.800000000000001,890983919999.9998,890983920000.0,890983920000.0004,890983919999.9996,890983920000.0001,890983920000.0001
5.9,890949159999.9998,890949160000.0,890949160000.0004,890949159999.9998,890949160000.0001,890949160000.0001
6.0,890914399999.9998,890914400000.0,890914400000.0004,890914399999.9998,890914400000.0001,890914400000.0001
6.1000000000000005,890879639999.9998,890879640000.0,890879640000.0004,890879639999.9998,890879640000.0001,890879640000.0001
6.2,890844879999.9998,890844880000.0,890844880000.0004,890844879999.9998,890844880000.0001,890844880000.0001
6.300000000000001,890810119999.9998,890810120000.0,890810120000.0004,890810119999.9998,890810120000.0001,890810120000.0001
6.4,890775359999.9998,890775360000.0,890775360000.0004,890775359999.9998,890775360000.0001,890775360000.0001
6.5,890740599999.9998,890740600000.0,890740600000.0004,890740599999.9998,890740600000.0001,890740600000.0001
6.6000000000000005,890705839999.9998,890705840000.0,890705840000.0004,890705839999.9998,890705840000.0001,890705840000.0001
6.7,890671079999.9998,890671080000.0,890671080000.0004,890671079999.9998,890671080000.0001,890671080000.0001
6.800000000000001,890636319999.9998,890636320000.0,890636320000.0004,890636319999.9998,890636320000.0001,890636320000.0001
6.9,890601559999.9998,890601559999.9999,890601560000.0004,890601559999.9998,890601560000.0001,890601560000.0001
7.0,890566799999.9999,890566799999.9999,890566800000.0004,890566799999.9998,890566800000.0001,890566800000.0001
7.1000000000000005,890532039999.9999,890532039999.9999,890532040000.0004,890532039999.9998,890532040000.0001,890532040000.0001
7.2,890497279999.9999,890497279999.9999,890497280000.0004,890497279999.9998,890497280000.0001,890497280000.0001
7.300000000000001,890462519999.9999,890462519999.9999,890462520000.0004,890462519999.9998,890462520000.0001,890462520000.0001
7.4,890427759999.9999,890427759999.9999,890427760000.0004,890427759999.9998,890427760000.0001,890427760000.0001
7.5,890392999999.9999,890393000000.0,890393000000.0004,890392999999.9998,890393000000.0001,890393000000.0001
7.6000000000000005,890358239999.9999,890358240000.0,890358240000.0004,890358239999.9998,890358240000.0001,890358240000.0001
7.7,890323479999.9999,890323480000.0,890323480000.0002,890323479999.9998,890323480000.0001,890323480000.0001
7.800000000000001,890288719999.9999,890288720000.0,890288720000.0002,890288719999.9998,890288720000.0001,890288720000.0001
7.9,890253959999.9999,890253960000.0,890253960000.0002,890253959999.9998,890253960000.0001,890253960000.0001
8.0,890219199999.9999,890219200000.0001,890219200000.0002,890219199999.9996,890219200000.0001,890219200000.0001
8.1,890184439999.9999,890184440000.0001,890184440000.0002,890184439999.9996,890184440000.0001,890184440000.0001
8.200000000000001,890149679999.9999,890149680000.0001,890149680000.0002,890149679999.9996,890149680000.0001,890149680000.0001
8.3,890114919999.9999,890114920000.0001,890114920000.0002,890114919999.9998,890114920000.0002,890114920000.0002
8.4,890080159999.9999,890080160000.0001,890080160000.0002,890080159999.9998,890080160000.0002,890080160000.0002
8.5,890045399999.9999,890045400000.0001,890045400000.0004,890045399999.9998,890045400000.0002,890045400000.0002
8.6,890010639999.9999,890010640000.0001,890010640000.0004,890010639999.9998,890010640000.0002,890010640000.0002
8.700000000000001,889975879999.9999,889975880000.0001,889975880000.0004,889975879999.9998,889975880000.0002,889975880000.0002
8.8,889941120000.0,889941120000.0001,889941120000.0004,889941119999.9998,889941120000.0002,889941120000.0002
8.9,889906360000.0,889906360000.0001,889906360000.0004,889906359999.9998,889906360000.0002,889906360000.0002
9.0,889871600000.0,889871600000.0001,889871600000.0004,889871599999.9998,889871600000.0002,889871600000.0002
9.1,889836839999.9999,889836840000.0001,889836840000.0004,889836839999.9998,889836840000.0002,889836840000.0002
9.200000000000001,889802079999.9999,889802080000.0001,889802080000.0004,889802079999.9998,889802080000.0002,889802080000.0002
9.3,889767319999.9999,889767320000.0,889767320000.0004,889767319999.9998,889767320000.0002,889767320000.0002
9.4,889732560000.0,889732560000.0,889732560000.0004,889732559999.9998,889732560000.0001,889732560000.0001
9.5,889697800000.0,889697800000.0,889697800000.0004,889697799999.9998,889697800000.0001,889697800000.0001
9.600000000000001,889663040000.0,889663040000.0,889663040000.0004,889663039999.9998,889663040000.0001,889663040000.0001
9.700000000000001,889628280000.0,889628280000.0,889628280000.0004,889628279999.9998,889628280000.0001,889628280000.0001
